artist,hottness
Lila Downs,0.690167
Trivium,0.633614
Triumvirat,0.504534
Northern Kings,0.544749
Camo & Krooked,0.637769
Bill Elm  Woody Jackson,0.536234
Akoustik Timbre Frekuency,0.333635
Uli Jon Roth,0.657966
Banco del Mutuo Soccorso,0.502424
Nocturnal Depression,0.500609
Igor Stravinsky,0.60172
Bülent Ersoy,0.539775
Livia Ferri,0.418112
Dawn,0.689482
She Wants Revenge,0.606121
Up Front,0.465349
The Outlaws,0.556856
Alphaville,0.692024
Brooke Candy,0.605312
Philipp Poisel,0.617684
Art of Dying,0.599306
Kittie,0.494926
Simon Curtis,0.58027
The Glitch Mob,0.649234
ELLEGARDEN,0.539472
Hayley Westenra,0.582416
Rabbit Junk,0.535851
The Rock Masters,0.512657
John Farnham,0.597876
In Flames,0.657187
Marius Müller-Westernhagen,0.494423
MillionYoung,0.580514
Lady Pank,0.618718
Spiders & Snakes,0.38242
Sébastien Tellier,0.626545
Красное Дерево,0.391977
They Might Be Giants,0.697152
Arborea,0.513361
東京スカパラダイスオーケストラ,0.730256
David Garrett,0.66928
Alleycat Scratch,0.454587
After the Burial,0.593571
Fresno,0.661256
Blu & Exile,0.559285
Memphis La Blusera,0.572497
Die Hafendorfer,0.369389
Hank Penny,0.46284
Blessthefall,0.625535
Booba,0.837596
Possessed,0.55832
Chicago Blues All-Stars,0.419524
Frames,0.514928
Wrathchild,0.428096
Dave Edmunds,0.56631
Sol Barniz,0.403296
Romantycy Lekkich Obyczajów,0.470157
Guillemots,0.568686
A Static Lullaby,0.55249
Calexico,0.796972
Harry Nilsson,0.592833
Nesli,0.753421
G-Powered,0.481831
Ice Cube,0.732106
Cream,0.672461
Verdena,0.595966
Guttural Slug,0.441036
Darkside,0.588349
Maria Callas,0.613403
The Cribs,0.616034
Chaka Khan,0.731859
Emilie Autumn,0.608596
Django Django,0.778227
Jesu,0.566286
Alice Francis,0.596084
Ina Müller,0.561193
Juanes,0.839358
Steel Dragon,0.425504
Danger Mouse,0.598743
Happy Mondays,0.617501
